Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1280.24219","Staphylococcus aureus strain yw20191",,1280,"131567;2;1783272;1239;91061;1385;90964;1279;1280","cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus","Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","WGS","yw20191",,,,"MLST.saureus.2631",,,,,,,,,,,,,,,,"Good","1900-01-01T00:00:00Z",,,"PRJNA555821","SAMN12330917","GCA_009796945.1",,"VMNG00000000","Zhejiang Provincial People's Hospital, People's Hospital of Hangzhou Medical College","WGS","Illumina HiSeq","12.0x","Velvet v. 1.2.10",,,38,2767192,32.69325,4,298910,60,7,,2755,98.13,97.95,,99.81,,"blood",,"2019-02-18",2019,,"China",,,,"Asia","China: Hangzhou",,"Human, Homo sapiens","Human","Male","66","Bacteremia","Human",,,,"sample_type:whole organism;collected_by:Wei Yu","A case of severe infections with methicillin-sensitive Staphylococcus aureus and overlapping carbapenem-resistant Klebsiella pneumoniae","2020-01-31T12:33:53.385Z","2020-01-31T12:33:53.385Z"
"1280.31201","Staphylococcus aureus strain C22",,1280,"131567;2;1783272;1239;91061;1385;90964;1279;1280","cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus","Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","WGS","C22",,,,"MLST.saureus.15",,,,,,,,,,,,,,,,"Good","2020-11-22T00:00:00Z",,,"PRJNA674911","SAMN16679762","GCA_015645165.1",,"JADOYH000000000","Zhejiang University School of Medicine","WGS","Illumina HiSeq","100x","SPAdes v. 3.10",,,29,2701211,32.651024,4,252973,59,6,,2623,98.07,97.89,,99.81,,"cerebrospinal fluid",,"2019-06-28",2019,,"Taiwan",,,,"Asia","Taiwan",,"Human, Homo sapiens","Human",,,"bacteremia","Human",,,,"collected_by:Cheng-Hsun Chiu","Pathogens causing bacteremia: Klebsiella pneumoniae, Escherichia coli, Serratia liquefaciens, Bacillus cereus, Staphylococcus capitis, Staphylococcus epidermidis, Staphylococcus capitis","2021-01-02T05:43:50.902Z","2021-01-02T05:43:50.902Z"
"1282.4245","Staphylococcus epidermidis strain C38_1",,1282,"131567;2;1783272;1239;91061;1385;90964;1279;1282","cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis","Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis","WGS","C38_1",,,,"MLST.sepidermidis.59",,,,,,,,,,,,,,,,"Good","2020-11-22T00:00:00Z",,,"PRJNA674911","SAMN16679765","GCA_015645075.1",,"JADOYE000000000","Zhejiang University School of Medicine","WGS","Illumina HiSeq","100x","SPAdes v. 3.10",,,51,2452212,32.08854,5,153896,61,6,,2379,97.89,97.77,,99.82,,"cerebrospinal fluid",,"2019-10-27",2019,,"Taiwan",,,,"Asia","Taiwan",,"Human, Homo sapiens","Human",,,"bacteremia","Human",,,,"collected_by:Cheng-Hsun Chiu","Pathogens causing bacteremia: Klebsiella pneumoniae, Escherichia coli, Serratia liquefaciens, Bacillus cereus, Staphylococcus capitis, Staphylococcus epidermidis, Staphylococcus capitis","2021-01-01T15:37:27.314Z","2021-01-01T15:37:27.314Z"
"1282.4246","Staphylococcus epidermidis strain C38_2",,1282,"131567;2;1783272;1239;91061;1385;90964;1279;1282","cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis","Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis","WGS","C38_2",,,,"MLST.sepidermidis.35",,,,,,,,,,,,,,,,"Good","2020-11-22T00:00:00Z",,,"PRJNA674911","SAMN16679766","GCA_015645085.1",,"JADOYD000000000","Zhejiang University School of Medicine","WGS","Illumina HiSeq","100x","SPAdes v. 3.10",,,55,2527222,32.01828,4,180989,59,8,,2474,97.83,97.59,,99.82,,"cerebrospinal fluid",,"2019-11-16",2019,,"Taiwan",,,,"Asia","Taiwan",,"Human, Homo sapiens","Human",,,"bacteremia","Human",,,,"collected_by:Cheng-Hsun Chiu","Pathogens causing bacteremia: Klebsiella pneumoniae, Escherichia coli, Serratia liquefaciens, Bacillus cereus, Staphylococcus capitis, Staphylococcus epidermidis, Staphylococcus capitis","2021-01-02T05:43:50.902Z","2021-01-02T05:43:50.902Z"
"1282.4247","Staphylococcus epidermidis strain C03",,1282,"131567;2;1783272;1239;91061;1385;90964;1279;1282","cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis","Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis","WGS","C03",,,,"MLST.sepidermidis.35",,,,,,,,,,,,,,,,"Good","2020-11-22T00:00:00Z",,,"PRJNA674911","SAMN16679760","GCA_015645175.1",,"JADOYJ000000000","Zhejiang University School of Medicine","WGS","Illumina HiSeq","100x","SPAdes v. 3.10",,,57,2524870,31.962715,4,181077,59,7,,2453,97.83,97.41,,99.82,,"blood",,"2018-12-26",2018,,"Taiwan",,,,"Asia","Taiwan",,"Human, Homo sapiens","Human",,,"bacteremia","Human",,,,"collected_by:Cheng-Hsun Chiu","Pathogens causing bacteremia: Klebsiella pneumoniae, Escherichia coli, Serratia liquefaciens, Bacillus cereus, Staphylococcus capitis, Staphylococcus epidermidis, Staphylococcus capitis","2021-01-02T05:43:50.902Z","2021-01-02T05:43:50.902Z"
"1282.4248","Staphylococcus epidermidis strain C28",,1282,"131567;2;1783272;1239;91061;1385;90964;1279;1282","cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis","Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis","WGS","C28",,,,"MLST.sepidermidis.59",,,,,,,,,,,,,,,,"Good","2020-11-22T00:00:00Z",,,"PRJNA674911","SAMN16679763","GCA_015645215.1",,"JADOYG000000000","Zhejiang University School of Medicine","WGS","Illumina HiSeq","100x","SPAdes v. 3.10",,,55,2452596,32.09077,5,153896,61,6,,2384,97.89,97.77,,99.82,,"blood",,"2019-06-19",2019,,"Taiwan",,,,"Asia","Taiwan",,"Human, Homo sapiens","Human",,,"bacteremia","Human",,,,"collected_by:Cheng-Hsun Chiu","Pathogens causing bacteremia: Klebsiella pneumoniae, Escherichia coli, Serratia liquefaciens, Bacillus cereus, Staphylococcus capitis, Staphylococcus epidermidis, Staphylococcus capitis","2021-01-01T15:37:52.549Z","2021-01-01T15:37:52.549Z"
"1396.2754","Bacillus cereus strain C42",,1396,"131567;2;1783272;1239;91061;1385;186817;1386;86661;1396","cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus cereus","Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus","WGS","C42",,,,"MLST.bcereus.427",,,,,,,,,,,,,,,,"Good","2020-11-22T00:00:00Z",,,"PRJNA674911","SAMN16679758","GCA_015645275.1",,"JADOYL000000000","Zhejiang University School of Medicine","WGS","Illumina HiSeq","100x","SPAdes v. 3.10",,,101,5955252,34.941563,8,286101,100,13,,6244,97.71,95.54,,100,,"blood",,"2019-11-09",2019,,"Taiwan",,,,"Asia","Taiwan",,"Human, Homo sapiens","Human",,,"bacteremia","Human",,,,"collected_by:Cheng-Hsun Chiu","Pathogens causing bacteremia: Klebsiella pneumoniae, Escherichia coli, Serratia liquefaciens, Bacillus cereus, Staphylococcus capitis, Staphylococcus epidermidis, Staphylococcus capitis","2021-01-02T05:43:50.902Z","2021-01-02T05:43:50.902Z"
"1463164.147","Klebsiella quasipneumoniae subsp. similipneumoniae strain KP1",,1463164,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;1463165;1463164","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella quasipneumoniae;Klebsiella quasipneumoniae subsp. similipneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella quasipneumoniae","WGS","KP1",,,,,,,,,,,,,,,,"genotype:ST2727",,,,"Poor","2020-03-16T00:00:00Z",,,"PRJNA610124","SAMN14277878","GCA_011365865.1",,"JAAOBC000000000","Monash University","WGS","Illumina","99x","SPAdes v. 3.13.1",,,22,5089486,58.157112,2,761537,74,2,,4967,95.24,94.21,,99.78,"Genome too short","blood from neonate",,"2017-02",2017,,"China",,,,"Asia","China:Wenzhou",,"Human, Homo sapiens","Human",,,"Digestive, Respiratory","Human",,,,"collected_by:the First Affiliated Hospital of Wenzhou Medical University (China)","During March of 2017, 21 co-housed neonates were sampled, in Wenzhou, China. Multilocus sequence typing and genomic sequencing identified that the Klebsiella isolates from all 21 neonates was a new MLST ST2727, and belonged to a less frequently detected subspecies K. quasipneumoniae subsp. similipneumoniae (KpIIB).","2020-03-27T18:12:08.270Z","2020-03-27T18:12:08.270Z"
"1463164.148","Klebsiella quasipneumoniae subsp. similipneumoniae strain KP21",,1463164,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;1463165;1463164","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella quasipneumoniae;Klebsiella quasipneumoniae subsp. similipneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella quasipneumoniae","WGS","KP21",,,,,,,,,,,,,,,,"genotype:ST2727",,,,"Poor","2020-03-16T00:00:00Z",,,"PRJNA610124","SAMN14277898","GCA_011365825.1",,"JAAOBW000000000","Monash University","WGS","Illumina","99x","SPAdes v. 3.13.1",,,30,5087382,58.152504,4,525134,72,2,,4965,95.24,94.27,,99.78,"Genome too short","stool from neonate",,"2017-03",2017,,"China",,,,"Asia","China:Wenzhou",,"Human, Homo sapiens","Human",,,"Respiratory","Human",,,,"collected_by:the First Affiliated Hospital of Wenzhou Medical University (China)","During March of 2017, 21 co-housed neonates were sampled, in Wenzhou, China. Multilocus sequence typing and genomic sequencing identified that the Klebsiella isolates from all 21 neonates was a new MLST ST2727, and belonged to a less frequently detected subspecies K. quasipneumoniae subsp. similipneumoniae (KpIIB).","2020-03-27T18:12:02.055Z","2020-03-27T18:12:02.055Z"
"1463164.149","Klebsiella quasipneumoniae subsp. similipneumoniae strain KP22",,1463164,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;1463165;1463164","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella quasipneumoniae;Klebsiella quasipneumoniae subsp. similipneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella quasipneumoniae","WGS","KP22",,,,,,,,,,,,,,,,"genotype:ST2727",,,,"Poor","2020-03-16T00:00:00Z",,,"PRJNA610124","SAMN14277899","GCA_011365875.1",,"JAAOBX000000000","Monash University","WGS","Illumina","99x","SPAdes v. 3.13.1",,,22,5089543,58.156067,2,761475,74,2,,4965,95.24,94.21,,99.78,"Genome too short","stool from neonate",,"2017-03",2017,,"China",,,,"Asia","China:Wenzhou",,"Human, Homo sapiens","Human",,,"Asymptomatic","Human",,,,"collected_by:the First Affiliated Hospital of Wenzhou Medical University (China)","During March of 2017, 21 co-housed neonates were sampled, in Wenzhou, China. Multilocus sequence typing and genomic sequencing identified that the Klebsiella isolates from all 21 neonates was a new MLST ST2727, and belonged to a less frequently detected subspecies K. quasipneumoniae subsp. similipneumoniae (KpIIB).","2020-03-27T18:12:05.726Z","2020-03-27T18:12:05.726Z"
